step,max_d_obs,max_d_action,d_root_z,d_root_x,z_isaac,z_mujoco
315,18.757,8.6007,0.012009,7.6701,0.7357,0.7237
316,20.265,7.4568,0.019456,7.689,0.7360,0.7165
317,20.265,5.6109,0.029478,7.7084,0.7375,0.7080
318,20.737,3.6109,0.035656,7.7251,0.7394,0.7038
319,20.737,4.6165,0.038539,7.7421,0.7419,0.7034
320,21.11,5.2078,0.040062,7.7603,0.7452,0.7051
321,21.11,5.2881,0.04089,7.7784,0.7494,0.7085
322,22.07,5.2558,0.041458,7.7951,0.7550,0.7135
323,21.343,6.2241,0.042213,7.8104,0.7618,0.7196
324,18.531,7.1355,0.043693,7.8243,0.7692,0.7255
325,16.405,7.5473,0.045762,7.8367,0.7759,0.7301
326,16.405,7.7134,0.048334,7.8486,0.7812,0.7329
327,16.909,7.9033,0.050743,7.8603,0.7849,0.7342
328,16.909,7.9447,0.052713,7.8726,0.7870,0.7343
329,17.418,7.592,0.054369,7.8856,0.7876,0.7333
330,15.344,6.9089,0.055629,7.8989,0.7869,0.7313
331,13.627,6.0035,0.05536,7.9106,0.7844,0.7290
332,12.225,5.6196,0.051959,7.9196,0.7794,0.7274
333,12.498,5.6886,0.044408,7.9278,0.7715,0.7271
334,13.821,6.7258,0.034726,7.9377,0.7614,0.7267
335,14.65,7.4683,0.030181,7.9536,0.7547,0.7245
336,18.545,8.2393,0.030093,7.9712,0.7498,0.7197
337,20.289,7.3223,0.034344,7.9895,0.7468,0.7124
338,20.289,5.4763,0.040774,8.007,0.7451,0.7043
339,21.86,3.8406,0.04373,8.0229,0.7445,0.7008
340,21.86,4.7883,0.043841,8.0402,0.7448,0.7010
341,21.706,5.2891,0.043106,8.0591,0.7461,0.7030
342,21.706,5.3583,0.041604,8.0774,0.7487,0.7071
343,21.81,5.2666,0.040337,8.094,0.7530,0.7126
344,20.906,6.2386,0.04,8.109,0.7591,0.7191
345,17.756,7.1488,0.041081,8.1219,0.7664,0.7254
346,15.828,7.584,0.043187,8.1332,0.7734,0.7302
347,17.677,7.7534,0.04608,8.1435,0.7792,0.7331
348,17.149,7.8777,0.048975,8.1533,0.7832,0.7342
349,17.128,7.9153,0.051029,8.1633,0.7856,0.7346
350,17.063,7.6215,0.053088,8.174,0.7867,0.7336
351,15.97,6.9885,0.054414,8.185,0.7865,0.7321
352,15.421,6.1415,0.054531,8.1948,0.7847,0.7302
353,13.591,5.7508,0.051516,8.2023,0.7804,0.7289
354,12.095,5.7292,0.044278,8.2087,0.7730,0.7288
355,14.047,6.5403,0.034659,8.2173,0.7637,0.7291
356,15.326,7.671,0.029798,8.2321,0.7579,0.7281
357,21.401,8.51,0.029314,8.2487,0.7541,0.7248
358,22.327,6.8443,0.032858,8.2661,0.7516,0.7188
359,22.327,5.3627,0.040076,8.2846,0.7501,0.7100
360,23.015,4.5912,0.044794,8.2999,0.7498,0.7050
361,23.015,5.4111,0.046475,8.315,0.7505,0.7040
362,22.589,5.8798,0.04714,8.3313,0.7524,0.7053
363,22.589,5.7013,0.047307,8.3478,0.7556,0.7083
364,22.6,5.6218,0.047103,8.3626,0.7602,0.7131
365,21.543,6.5481,0.047034,8.3763,0.7662,0.7192
366,17.69,7.2119,0.047656,8.3893,0.7728,0.7251
367,17.488,7.5174,0.049376,8.4013,0.7793,0.7300
368,18.481,7.7184,0.051803,8.4116,0.7846,0.7328
369,17.649,7.8309,0.054313,8.4209,0.7882,0.7339
370,17.124,7.7983,0.056356,8.4302,0.7904,0.7340
371,18.691,7.4554,0.058606,8.4398,0.7913,0.7327
372,15.868,6.8668,0.060096,8.4494,0.7908,0.7307
373,15.019,6.0705,0.059757,8.4578,0.7879,0.7282
374,12.78,5.5641,0.05526,8.4639,0.7820,0.7267
375,12.397,5.4342,0.045814,8.4693,0.7724,0.7266
376,14.701,6.5754,0.032293,8.4762,0.7590,0.7267
377,16.264,6.9961,0.020921,8.4873,0.7461,0.7252
378,18.197,7.8865,0.018348,8.5032,0.7397,0.7213
379,19.388,6.4337,0.021537,8.522,0.7362,0.7147
380,21.95,4.7069,0.027742,8.542,0.7338,0.7061
381,22.89,5.4596,0.030765,8.5589,0.7325,0.7017
382,24.399,6.5024,0.030661,8.5755,0.7319,0.7012
383,25.339,6.747,0.029042,8.5923,0.7320,0.7030
384,25.339,6.1687,0.026875,8.6072,0.7335,0.7066
385,26.176,5.7201,0.025032,8.6197,0.7371,0.7121
386,24.111,6.7405,0.024002,8.6312,0.7429,0.7189
387,19.729,7.0514,0.025106,8.6429,0.7505,0.7254
388,18.94,7.6957,0.027483,8.6527,0.7581,0.7306
389,17.534,7.5264,0.030027,8.6593,0.7639,0.7339
390,19.009,7.572,0.032666,8.6642,0.7681,0.7354
391,19.9,7.4533,0.034515,8.6691,0.7705,0.7360
392,20.076,6.9889,0.036287,8.6749,0.7716,0.7353
393,15.604,6.3784,0.036905,8.6809,0.7706,0.7337
394,13.513,5.5794,0.034805,8.6858,0.7663,0.7315
395,10.66,4.5846,0.028539,8.6887,0.7580,0.7295
396,13.111,5.7618,0.02413,8.6968,0.7529,0.7288
397,16.697,8.1217,0.0212,8.7066,0.7496,0.7284
398,19.874,8.8454,0.021862,8.7189,0.7486,0.7267
399,20.51,8.1131,0.026166,8.7332,0.7488,0.7227
